date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-08-12 0:00,0,0,60,25,0,8,0,0,0,0,11,0,0,0,0,0
2022-08-13 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-15 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-16 0:00,0,10,0,0,0,0,0,37,2,0,10,0,0,3,0,8
2022-08-17 0:00,0,20,0,0,0,0,0,10,12,0,0,8,0,0,0,0
2022-08-18 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-19 0:00,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10
2022-08-20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-21 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-22 0:00,0,0,0,60,24,0,80,0,103,0,0,0,0,80,0,0
2022-08-23 0:00,0,0,0,30,0,0,0,36,404,0,0,50,0,36,0,0
2022-08-24 0:00,0,40,0,0,0,15,0,0,2,0,15,0,0,0,0,0
2022-08-25 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-26 0:00,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
2022-08-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-28 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-30 0:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2022-08-31 0:00,6,0,0,0,0,3,1,1,514,6,1,0,0,2,0,0
2022-09-01 0:00,0,0,40,10,0,0,40,26,0,0,0,20,0,21,0,20
2022-09-02 0:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2022-09-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-04 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-05 0:00,80,0,0,180,0,0,-80,0,42,0,0,0,0,60,0,0
2022-09-06 0:00,4,10,0,10,0,6,0,0,0,0,0,10,0,36,0,0
2022-09-07 0:00,0,0,10,0,0,0,40,0,0,0,0,0,0,0,0,0
